ds,y
1996-04,177100.0
1996-05,180000.0
1996-06,182700.0
1996-07,185100.0
1996-08,187100.0
1996-09,188700.0
1996-10,189900.0
1996-11,190500.0
1996-12,190900.0
1997-01,191000.0
1997-02,190500.0
1997-03,189300.0
1997-04,188200.0
1997-05,187100.0
1997-06,186300.0
1997-07,185800.0
1997-08,185600.0
1997-09,185800.0
1997-10,186300.0
1997-11,186900.0
1997-12,187800.0
1998-01,188900.0
1998-02,189300.0
1998-03,189200.0
1998-04,188800.0
1998-05,188000.0
1998-06,186900.0
1998-07,185500.0
1998-08,183900.0
1998-09,182100.0
1998-10,180400.0
1998-11,178800.0
1998-12,177800.0
1999-01,177300.0
1999-02,177100.0
1999-03,177400.0
1999-04,178300.0
1999-05,179900.0
1999-06,182100.0
1999-07,184900.0
1999-08,187800.0
1999-09,190900.0
1999-10,194000.0
1999-11,197000.0
1999-12,199800.0
2000-01,202100.0
2000-02,203700.0
2000-03,204400.0
2000-04,204500.0
2000-05,204100.0
2000-06,203200.0
2000-07,201900.0
2000-08,200400.0
2000-09,198900.0
2000-10,197500.0
2000-11,196200.0
2000-12,195200.0
2001-01,194400.0
2001-02,193500.0
2001-03,192700.0
2001-04,191900.0
2001-05,191300.0
2001-06,191000.0
2001-07,190800.0
2001-08,190800.0
2001-09,191000.0
2001-10,191300.0
2001-11,191700.0
2001-12,192300.0
2002-01,192800.0
2002-02,193300.0
2002-03,193700.0
2002-04,194300.0
2002-05,195000.0
2002-06,195600.0
2002-07,196200.0
2002-08,196800.0
2002-09,197100.0
2002-10,197400.0
2002-11,197500.0
2002-12,197500.0
2003-01,197600.0
2003-02,197800.0
2003-03,197800.0
2003-04,197700.0
2003-05,197500.0
2003-06,197300.0
2003-07,197100.0
2003-08,196900.0
2003-09,196700.0
2003-10,196600.0
2003-11,196600.0
2003-12,196900.0
2004-01,197600.0
2004-02,198900.0
2004-03,200600.0
2004-04,202400.0
2004-05,203800.0
2004-06,204900.0
2004-07,205700.0
2004-08,206400.0
2004-09,206900.0
2004-10,207500.0
2004-11,208100.0
2004-12,208600.0
2005-01,209000.0
2005-02,209000.0
2005-03,208900.0
2005-04,208600.0
2005-05,208400.0
2005-06,208400.0
2005-07,208600.0
2005-08,208900.0
2005-09,209300.0
2005-10,209400.0
2005-11,209500.0
2005-12,209600.0
2006-01,209800.0
2006-02,210200.0
2006-03,210700.0
2006-04,211400.0
2006-05,212300.0
2006-06,213200.0
2006-07,214000.0
2006-08,215000.0
2006-09,216000.0
2006-10,217000.0
2006-11,217900.0
2006-12,218400.0
2007-01,218700.0
2007-02,218400.0
2007-03,217700.0
2007-04,216800.0
2007-05,215900.0
2007-06,215100.0
2007-07,214300.0
2007-08,213600.0
2007-09,213000.0
2007-10,212500.0
2007-11,211900.0
2007-12,211300.0
2008-01,210700.0
2008-02,210100.0
2008-03,209500.0
2008-04,209100.0
2008-05,209300.0
2008-06,209700.0
2008-07,209800.0
2008-08,209700.0
2008-09,209500.0
2008-10,209500.0
2008-11,209600.0
2008-12,209800.0
2009-01,210100.0
2009-02,210500.0
2009-03,210600.0
2009-04,210600.0
2009-05,210700.0
2009-06,210500.0
2009-07,210200.0
2009-08,210200.0
2009-09,211000.0
2009-10,212500.0
2009-11,214400.0
2009-12,216000.0
2010-01,217100.0
2010-02,218000.0
2010-03,219000.0
2010-04,219800.0
2010-05,219400.0
2010-06,217400.0
2010-07,214400.0
2010-08,211200.0
2010-09,209400.0
2010-10,208900.0
2010-11,208600.0
2010-12,207700.0
2011-01,207100.0
2011-02,207100.0
2011-03,207600.0
2011-04,209100.0
2011-05,210700.0
2011-06,213200.0
2011-07,216600.0
2011-08,219300.0
2011-09,219800.0
2011-10,218500.0
2011-11,217000.0
2011-12,215300.0
2012-01,212900.0
2012-02,211200.0
2012-03,210200.0
2012-04,208800.0
2012-05,208000.0
2012-06,208300.0
2012-07,210300.0
2012-08,214500.0
2012-09,218300.0
2012-10,220000.0
2012-11,221700.0
2012-12,224800.0
2013-01,228500.0
2013-02,232000.0
2013-03,234300.0
2013-04,235400.0
2013-05,236600.0
2013-06,238700.0
2013-07,240700.0
2013-08,242300.0
2013-09,243900.0
2013-10,245600.0
2013-11,246500.0
2013-12,246900.0
2014-01,247400.0
2014-02,247700.0
2014-03,248400.0
2014-04,250600.0
2014-05,253200.0
2014-06,255600.0
2014-07,258000.0
2014-08,260000.0
2014-09,261900.0
2014-10,264700.0
2014-11,269100.0
2014-12,274400.0
2015-01,279100.0
2015-02,282900.0
2015-03,286300.0
2015-04,289000.0
2015-05,291700.0
2015-06,293800.0
2015-07,294700.0
2015-08,294800.0
2015-09,295700.0
2015-10,297100.0
2015-11,298300.0
2015-12,300200.0
2016-01,302700.0
2016-02,304800.0
2016-03,306300.0
2016-04,308100.0
2016-05,309700.0
2016-06,310700.0
2016-07,310900.0
2016-08,311000.0
2016-09,311000.0
2016-10,310600.0
2016-11,309600.0
2016-12,308500.0
2017-01,307800.0
2017-02,308200.0
2017-03,308500.0
2017-04,308900.0
2017-05,309400.0
2017-06,309600.0
2017-07,309600.0
2017-08,310000.0
2017-09,310800.0
2017-10,311600.0
2017-11,311800.0
2017-12,311200.0
2018-01,310500.0
2018-02,311400.0
2018-03,313800.0
2018-04,315900.0
